,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
281,4PXOSe2WbmFhmJDiqrDw6W,Take You,Justin Bieber,['Justin Bieber'],0.663,0.706,6,-6.648,1,0.00107,0.00248,0.232,0.461,126.04,220893,4,116,10,885
282,2Rmuzh89p29BeTIF63Opwo,Right Here,Justin Bieber,"['Justin Bieber', 'Drake']",0.639,0.57,1,-4.966,1,0.0233,0.0,0.329,0.728,92.073,204187,4,77,7,793
283,5dQZbRbOMahlP55xeL0mNW,Fall,Justin Bieber,['Justin Bieber'],0.607,0.754,11,-4.321,1,0.259,0.0,0.111,0.607,82.995,248387,4,84,12,821
284,2eHs8Swb16qSKatrLKnWKP,Die In Your Arms,Justin Bieber,['Justin Bieber'],0.568,0.878,7,-5.094,1,0.0309,4.26e-06,0.213,0.725,171.723,237293,4,167,9,942
285,5xIwgIwX70gP1hJ2QLu63W,Thought Of You,Justin Bieber,['Justin Bieber'],0.697,0.705,2,-5.032,1,0.0094,6.61e-06,0.105,0.57,123.223,230107,4,116,10,815
286,6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,Justin Bieber,"['Justin Bieber', 'Nicki Minaj']",0.601,0.843,0,-4.87,1,0.000704,5.27e-05,0.0681,0.534,128.002,227987,4,122,13,770
287,3vpXclZrJxC8Zlj7N7OyfN,One Love,Justin Bieber,['Justin Bieber'],0.688,0.612,11,-7.558,1,0.00276,0.0,0.0942,0.228,127.916,234493,4,124,9,912
288,4DmJUNY2LJhbl4ClUpa38T,Be Alright,Justin Bieber,['Justin Bieber'],0.803,0.356,5,-9.026,0,0.587,0.0,0.16,0.738,106.952,189653,4,83,9,622
289,6ImYcmDP7WamwVBbZeHUTy,Believe,Justin Bieber,['Justin Bieber'],0.519,0.854,0,-5.71,1,0.143,0.0,0.171,0.508,159.805,222213,4,144,11,772
290,3F1P0QzdXtBz0MXy7KIO5w,Fever,Dua Lipa,"['Dua Lipa', 'Angèle']",0.868,0.693,6,-7.052,0,0.0597,0.00399,0.106,0.396,114.999,156911,4,74,8,755
291,6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Joel Corry,"['Joel Corry', 'MNEK']",0.734,0.874,8,-3.158,1,0.168,1.14e-05,0.0489,0.905,122.953,166028,4,83,6,686
292,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,['Ariana Grande'],0.737,0.802,0,-4.771,1,0.468,0.0,0.0931,0.682,144.015,172325,4,101,8,662
293,6YzQOngfcV0W9F8UOTnEEK,Bande organisée,13 Organisé,"['13 Organisé', 'SCH', 'Kofs', 'Jul', 'Naps', 'Soso Maness', 'Elams', 'Solda', 'Houari']",0.901,0.939,6,-2.762,1,0.117,0.0,0.0643,0.805,142.948,356347,4,212,16,1682
294,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,"['Cardi B', 'Megan Thee Stallion']",0.935,0.454,1,-7.509,1,0.0194,0.0,0.0824,0.357,133.073,187541,4,103,10,754
295,0t1kP63rueHleOhQkYSXFY,Dynamite,BTS,['BTS'],0.746,0.765,6,-4.41,0,0.0112,0.0,0.0936,0.737,114.044,199054,4,92,10,766
296,2MlOUXmcofMackX3bxfSwi,Jerusalema (feat. Nomcebo Zikode),Master KG,"['Master KG', 'Nomcebo Zikode']",0.88,0.483,1,-7.012,1,0.0185,8.75e-06,0.0607,0.827,124.009,342613,4,176,14,1420
297,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,"['Jawsh 685', 'Jason Derulo']",0.767,0.481,0,-8.52,0,0.234,0.0,0.269,0.761,150.076,171375,4,104,6,655
298,1yoMvmasuxZfqHEipJhRbp,Hawái,Maluma,['Maluma'],0.783,0.727,6,-3.454,0,0.185,2.46e-05,0.0626,0.558,180.067,199112,4,150,9,909
299,5J7E7oivyvyxGfHYfb6Cdd,ANIMAL,FEVER 333,['FEVER 333'],0.612,0.867,5,-6.017,1,0.00244,0.0,0.0822,0.661,91.531,203733,4,74,9,805
300,7cpmk4IuNSWfg5XOrr2v8V,Trouble’s Coming - Purple Disco Machine Remix,Royal Blood,"['Royal Blood', 'Purple Disco Machine']",0.778,0.613,9,-7.799,1,0.0478,0.00174,0.163,0.931,121.028,265570,4,132,11,1149
301,081DznXLCr8BcmdaPqElQJ,Diouz An Noz - The Field Remix,Yann Tiersen,"['Yann Tiersen', 'Emilie Tiersen', 'Ólavur Jákupsson', 'The Field']",0.461,0.767,1,-9.46,0,0.00171,0.721,0.116,0.0779,102.995,661749,4,284,20,3461
302,6juLaduD4STCUDWT0AYun4,MORE,K/DA,"['K/DA', 'Madison Beer', '(G)I-DLE', 'Lexie Liu', 'Jaira Burns', 'Seraphine', 'League of Legends']",0.66,0.787,1,-4.592,0,0.00257,0.0,0.323,0.199,142.018,217088,4,124,9,792
303,6mPEsoIe1hJoQOVOm2GMAR,Goodbye: Thank U Dad (Spanish Version) - En Vivo,Ned Quintana,"['Ned Quintana', 'Lucas King']",0.579,0.199,8,-11.057,1,0.923,3.82e-06,0.107,0.443,119.75,229263,4,112,9,689
304,685hv3FVHfxAbtHEUg9ix4,Rise up in Love - Moby's Ecstatic Piano Mix,Moby,['Moby'],0.574,0.882,9,-4.519,0,0.0296,0.0746,0.212,0.133,128.031,308524,4,166,14,1207
